 op_mp  , op_gen , ow_avg , chp_mp , chp_gen 
90,0,19.88,0.42,0.36
86,0,37.5,0.38,0.38
22,11,12.01,0.68,0.68
23,0,2.14,0.63,0.76
44,0,1.65,0.73,0.73
0,3,7.78,3.46,2.16
0,0,11.35,0.16,0.16
0,0,0.64,0.05,0.2
40,0,1.52,0.15,0.24
0,0,1.18,0.05,0.1
11,0,0.89,0.06,0.09
45,8,15.89,1.12,0.95
35,3,10.77,1.13,1.13
65,25,38.37,0.55,0.93
0,0,1.14,0.02,0.02
71,20,44.07,0.65,0.9
58,19,28.7,1.27,0.88
29,10,22.21,0.57,0.58
0,0,0.17,0.12,0.12
0,0,1.13,0.23,0.23
0,0,4.71,0.67,0.67
11,0,1.23,0.5,0.41
50,15,31.61,1.71,3.24
67,0,3.55,0.51,0.47
67,0,11.02,0.99,0.99
25,8,8.61,0.35,0.26
11,0,5.06,0.05,0.43
38,19,26.28,1.09,1.52
41,9,13.62,0.29,1.87
38,19,23.77,1.42,1.98
74,0,6.82,0.5,0.5
100,0,7.69,0.58,0.4
0,0,13.69,0.05,0.77
67,9,16,0.47,0.18
52,12,26.18,1.83,2.02
0,0,0.37,0.28,0.09
75,23,24.44,0.7,0.66
23,0,1.98,0.12,0.18
29,0,1.1,0.36,0.37
30,0,0.74,0.07,0.07
0,0,0.83,0.07,0.15
0,0,0.21,0.07,0.07
33,0,0.7,1.89,1.22
14,0,4.58,0.13,0.58
0,0,0.3,0.02,0.02
44,5,10.02,0.13,0.46
50,0,2.33,0.19,0.19
25,0,5.04,0.04,0.92
35,0,20.79,0.95,2.31
68,9,12.92,0.11,0.49
9,9,12.25,0.15,0.64
100,0,1.73,0.23,0.23
100,0,1.7,0.03,0.03
14,0,3.37,0.14,0.12
18,1,7.53,0.49,1.08
0,0,0.48,0.08,0.11
0,0,2.7,0.08,0.08
0,0,0.2,0.04,0.04
0,0,0.07,0.11,0.11
11,0,0.42,0.03,0.04
42,10,18.3,0.29,1.48
0,0,0.88,0.08,0.12
76,80,82.09,2.14,4.63
50,20,20.81,0.95,1.46
10,0,9.93,0.33,2.02
0,0,0.8,0.04,0.26
63,0,16.47,1.91,1.91
0,0,0.44,0.09,0.09
33,0,0.85,0.05,0.05
0,0,0.09,0.04,0.04
0,0,0.92,0.08,0.16
25,0,12.18,4.55,7.8
57,8,16.35,0.55,0.57
56,7,19.43,0.7,0.51
25,0,1.25,0.2,0.09
0,0,0.21,0.03,0.15
0,0,0.48,0.09,0.09
0,0,1.34,0.1,0.14
0,0,1.06,0.92,0.92
36,14,14.87,0.35,0.36
0,0,0.09,0.08,0.08
0,0,0.03,0.02,0.02
0,0,2.97,0.16,0.16
50,0,1.99,0.13,0.12
43,1,3.65,0.14,0.18
50,50,43.89,1.57,1.57
100,43,74.77,9.91,6.16
50,0,0.95,0.14,0.05
100,0,2.8,0.6,0.6
0,0,0.15,0.02,0.04
20,0,2.07,0.2,0.2
57,0,24.71,1.16,1.16
25,0,18.25,1.35,1.35
40,0,52.05,0.34,7.42
72,3,12.85,0.87,1.55
50,14,21.83,0.38,0.52
29,2,4.89,0.16,0.19
0,0,0.63,0.13,0.13
100,0,47.29,0.61,0.61
0,0,7.66,1.76,1.76
0,6,22.33,0.02,1.41
70,17,21.02,0.65,0.78
50,0,2.53,0.32,0.22
25,5,7.66,0.93,1.11
17,0,0.31,0.08,0.08
100,0,9.11,0.78,1.1
0,0,0.29,0.11,0.1
0,0,0.23,0.06,0.06
0,0,0.32,0.23,0.19
30,0,0.66,0.05,0.05
44,1,7.05,1.61,0.48
0,0,0.04,0.04,0.04
0,0,0.18,0.06,0.06
0,0,1.32,0.1,0.06
38,9,35.82,0.07,4.02
33,0,26,0.84,0.84
53,0,0.27,0.03,0.03
33,0,12.75,0.35,0.27
100,0,2.41,0.38,0.2
0,0,5.78,0.9,0.9
0,100,100,0.42,0.42
16,5,9.49,0.11,0.7
0,0,0.96,0.1,0.1
0,0,0.9,0.02,0.02
33,0,0.56,0.29,0.29
0,0,0.82,0.06,0.06
0,0,0.05,0.02,0.02
41,0,5.96,0.19,0.31
54,2,10.11,0.54,0.89
25,0,4.7,0.52,0.52
0,0,2.33,0.04,0.14
0,0,0.6,0.08,0.06
100,0,43.43,1.52,1.52
52,17,19.58,0.75,1.36
47,0,4.17,0.28,0.33
80,0,3.58,0.09,0.08
38,10,18.84,0.6,1
100,0,0.58,0.15,0.15
0,0,0.03,0.02,0.02
55,2,7.06,0.31,0.34
100,0,0.02,0.01,0.01
74,22,41.58,0.34,2.28
70,6,18.34,0.75,0.68
17,17,36.75,2.37,2.37
24,0,10.14,0.16,1.16
27,0,5.88,0.36,0.37
0,0,0.63,0.19,0.07
43,10,21.54,0.53,0.38
67,0,0.61,0.05,0.04
100,0,0.5,0.02,0.02
0,12,25.16,0.02,1.51
0,0,3.21,0.15,0.33
100,0,0.29,0.04,0.04
20,6,9.65,1.34,1.17
62,6,16.14,0.93,1.27
40,6,11.09,0.27,0.23
25,0,2.97,0.18,0.21
25,2,7.72,0.13,0.17
0,0,3.34,0.47,1.1
22,0,11.8,2.06,2.56
17,0,1.9,0.13,0.15
0,0,1.43,0.1,0.11
0,0,0.78,0.07,0.09
0,15,23.03,0.03,0.52
100,0,0.09,0.02,0.02
67,0,13.45,0.1,2.91
0,0,0.04,0.04,0.04
0,84,84.23,8.26,8.26
100,13,12.61,0.51,0.51
100,0,0.29,0.04,0.04
0,0,11.11,0.04,0.04
0,0,0.57,0.15,0.15
100,0,1.99,0.37,0.37
0,0,0.34,0.12,0.14
0,0,1.4,0.66,0.66
9,0,0.88,0.21,0.23
41,2,5.34,0.32,0.34
0,0,3.39,0.01,0.16
56,0,1.47,0.11,0.24
50,0,0.53,0.06,0.06
100,0,42.65,13.64,13.64
54,10,16.36,0.49,0.47
0,0,0.39,0.12,0.12
0,0,1.28,0.14,0.14
0,0,7.75,1.69,2.97
100,0,0.38,0.1,0.1
100,0,0.98,0.26,0.26
67,0,6.07,0.23,0.18
100,0,0.63,0.07,0.07
100,0,0.74,0.38,0.38
67,5,9.26,0.15,0.26
69,16,35.05,0.3,0.24
44,10,20.84,0.33,0.64
0,0,2.98,0.02,0.78
100,0,6.54,0.58,0.58
26,1,1.57,0.07,0.14
0,0,2,0.1,0.1
50,0,3.13,0.45,0.45
0,0,0.06,0.02,0.02
0,0,6.92,1.25,3.29
46,5,9.42,0.66,1.87
26,0,1.83,0.57,0.75
0,0,0.45,0.07,0.07
0,0,0.29,0.05,0.05
87,3,29.49,1.11,1.11
89,0,12.96,0.85,2.03
44,0,3.02,0.16,0.4
44,0,7.03,0.39,2.38
0,0,0.73,0.23,0.23
29,14,14.88,0.23,0.23
0,0,0.6,0.32,0.32
0,0,0.04,0.02,0.02
87,6,40.37,2.82,3.21
0,0,0.39,0.08,0.04
50,0,0.25,0.05,0.05
100,0,13.5,1.05,1.05
29,0,0.2,0.05,0.05
0,17,16.83,1.4,0.62
29,10,15.41,0.53,2.3
0,0,0.06,0.03,0.03
45,0,7.5,0.29,0.29
0,0,0.16,0.04,0.06
100,0,21.3,2.69,2.69
0,0,0.23,0.4,0.4
67,0,2.04,3.83,1.48
0,0,0.28,0.1,0.1
21,41,53.97,0.41,6.13
88,0,0.36,0.05,0.05
0,0,4.86,0.21,0.21
0,0,0.01,0.03,0.03
0,0,0.3,0.04,0.04
25,25,40.01,3.55,3.55
100,0,2.76,0.34,0.34
0,0,0.18,0.03,0.03
50,40,36.71,0.08,2.12
0,0,0.05,0.04,0.09
0,0,1.84,0.62,0.62
50,25,25.26,0.64,2.46
0,3,10.99,0.07,0.92
0,0,4.6,0.65,0.61
0,0,10.2,0.12,0.2
0,0,0.05,0.02,0.02
0,0,0.85,0.12,0.12
0,0,0.7,0.12,0.12
0,0,0.22,0.1,0.1
0,0,3.28,0.21,0.12
0,0,0.23,0.03,0.03
100,0,4.52,0.24,0.24
75,17,28.56,0.01,1.36
86,31,60.6,3.16,7.56
0,0,0.31,0.01,0.06
0,0,0.04,0.02,0.02
36,14,20.89,0.45,1.41
0,0,0.14,0.06,0.06
0,0,0.02,0.02,0.02
79,38,60.89,1.72,2.7
58,4,9.01,0.37,0.48
61,2,8.12,0.83,0.5
0,0,3.65,0.83,0.83
100,0,1.06,0.15,0.15
20,0,1.18,0.23,0.23
0,0,0.18,0.01,0.01
100,0,0.33,0.02,0.02
50,0,0.46,0.05,0.05
17,8,14.44,0.57,0.59
0,0,0.07,0.02,0.02
0,0,0.17,0.04,0.04
0,0,0.68,2.32,1.43
0,50,58.58,0.45,0.45
20,20,17.74,0.5,0.5
75,0,35.54,8.03,8.03
20,0,1.32,0.19,0.14
100,0,0.17,0.02,0.02
0,0,0.23,0.03,0.03
75,0,9.95,0.43,0.2
0,0,0.43,0.05,0.08
0,0,0.27,0.19,0.19
33,0,6.2,0.44,0.44
69,8,25.1,0.94,1.05
0,0,1.02,0.31,0.31
0,33,34.01,0.83,0.83
100,0,1.49,0.04,0.04
50,0,1.38,0.1,0.1
50,0,32.42,3.25,3.25
67,64,62.85,1.16,1.21
41,16,18.76,1.08,1.34
0,0,2.33,0.2,0.16
40,0,13.22,0.4,0.36
0,0,0.02,0.01,0.01
67,0,8.08,0.26,0.33
0,0,0.16,0.02,0.05
100,0,1.49,0.11,0.12
0,50,65.85,0.47,0.47
67,0,23.47,0.32,0.4
0,0,1.64,0.12,0.12
100,0,4.33,1.41,1.41
0,33,35.71,0.17,0.82
100,0,16.74,1.78,1.19
0,0,0.15,0.04,0.04
100,0,1.46,0.17,0.17
0,0,0.06,0.02,0.02
25,0,0.24,0.08,0.1
56,9,23.1,0.06,1.24
17,0,0.6,0.1,0.23
50,32,32.62,0.49,0.4
75,0,2.14,0.11,0.1
38,2,10.41,0.76,0.91
100,33,29.08,0.35,0.24
0,0,0.09,0.18,0.11
50,29,30.02,0.13,3.61
68,29,47.76,2.76,7.28
25,0,3.41,1.7,1.7
43,23,33.99,0.35,0.64
71,0,10.23,0.6,0.5
100,0,0.34,0.17,0.17
61,0,2.33,0.1,0.16
0,0,0.04,0.02,0.02
100,0,13.67,1.53,1.53
75,75,73.06,2.07,2.07
19,0,2.03,0.11,0.13
58,7,8.37,0.61,0.6
25,25,25.83,1.25,1.25
6,0,2.51,0.24,0.91
0,0,12.75,0.02,0.81
0,0,1.67,0.01,0.8
46,9,21.6,1.83,1.31
0,0,2.15,0.29,0.29
0,11,22.21,0.13,0.77
20,6,8.65,0.18,1.26
75,0,2.02,0.11,0.07
19,3,11.7,0.29,0.73
0,0,5.43,0.47,0.44
51,35,48.29,0.55,0.67
55,0,3.4,0.12,0.27
42,42,53.97,1.15,1.15
0,4,6.56,0.68,0.25
60,20,21.6,0.3,0.3
33,20,32.19,1.09,2.24
0,0,0.63,0.35,0.35
0,0,0.06,0.04,0.04
0,30,35.29,0.06,0.7
33,0,0.33,0.11,0.11
0,0,0.93,0.41,2.61
70,2,21.23,0.51,2.11
0,0,0.13,0.04,0.04
0,0,0.04,0.02,0.02
56,20,27.72,1.86,3.36
0,0,0.19,0.03,0.03
0,0,8.45,0.59,1.38
100,0,7.2,0.1,0.54
100,0,1.22,0.02,0.03
100,0,2.16,0.08,0.08
50,0,22.88,3.2,2.73
50,0,14.52,0.16,5.35
100,0,3.62,0.02,0.57
0,0,2.07,0.02,0.17
100,0,5.15,0.02,0.04
100,0,2.12,0.11,0.11
13,0,2.4,0.05,0.09
0,0,8.51,0.17,0.95
55,0,5.73,0.28,0.29
33,0,1.53,0.15,0.15
0,0,2.25,0.57,0.57
100,0,0.69,0.04,0.04
0,0,1.08,0.06,0.06
39,2,5.35,0.22,0.35
90,80,90.12,0.66,0.77
0,0,1.53,0.17,0.17
0,0,0.04,0.19,0.19
0,0,0.16,0.11,0.08
0,0,0.03,0.13,0.13
47,0,7.1,0.72,1.51
0,0,1.33,0.09,0.36
0,0,1.86,0.19,0.18
0,0,0.06,0.03,0.03
0,0,5.1,2.04,1.56
0,0,0.06,0.04,0.04
0,0,0.16,0.02,0.02
20,0,6.11,0.56,0.72
20,3,9.31,0.12,0.16
75,29,27.84,0.09,1.52
0,0,0.4,0.08,0.08
0,0,0.02,0.08,0.08
0,0,0.21,0.01,0.05
0,0,0.25,0.15,0.15
0,0,1.37,0.12,0.12
100,0,1.01,0.11,0.11
58,5,11.73,0.25,0.31
0,0,12.81,0.31,0.39
0,0,3.03,0.51,0.3
0,0,0.81,0.08,0.08
50,0,2.77,0.3,0.26
0,0,5.4,0.02,0.12
100,0,1.18,0.03,0.09
0,0,0.84,0.09,0.18
0,0,1.37,0.14,0.21
28,5,13.36,1.11,1.18
0,0,0.08,0.06,0.06
0,0,0.88,0.04,0.1
18,0,2.05,0.13,0.53
27,21,43.76,0.81,10.99
0,0,2.04,0.2,0.2
0,0,0.72,0.24,0.28
0,0,4.55,0.02,0.02
49,65,72.53,0.72,2.19
0,0,0.1,0.03,0.03
22,3,14.86,0.71,1.08
100,0,1.24,0.01,0.11
100,0,0.57,0.23,0.14
0,0,0.76,0.44,0.21
100,0,53.13,8.58,8.58
100,0,2.65,0.09,0.09
50,0,0.97,0.07,0.05
100,0,0.46,0.02,0.02
67,7,12.7,0.26,0.52
57,33,40.37,0.31,1.61
0,0,13.69,0.41,1.42
0,0,0.09,0.02,0.02
42,5,15,0.27,0.31
69,4,8.03,0.19,0.19
29,30,37.17,0.55,0.58
0,0,3.78,0.32,0.2
77,3,6.14,0.14,0.14
21,0,4.02,0.22,0.23
40,0,1.58,0.24,0.2
0,0,2.79,0.04,0.05
0,15,32.3,0.05,1.86
40,11,12.9,0.5,0.41
17,3,10.58,0.19,0.79
100,0,0.15,0.01,0.01
11,20,23.97,0.33,1.65
0,0,11.08,0.13,2.47
33,0,12.08,1,1.19
71,23,25.45,0.55,0.75
40,20,31.27,0.77,0.77
25,0,0.27,0.02,0.02
75,0,7.66,0.04,0.04
27,34,39.02,0.18,2.95
64,41,51.47,2.37,4.09
33,0,0.73,0.06,0.18
0,0,0.65,0.06,0.06
0,0,1.02,0.28,0.28
100,8,11.23,0.04,1.28
33,33,40.97,0.04,0.83
100,0,10.67,2.3,2.3
64,41,44.2,1.04,0.73
0,0,0.05,0.01,0.01
0,0,0.06,0.02,0.02
0,0,3.64,0.08,0.08
50,0,1.22,0.17,0.29
0,0,4.06,0.07,0.19
25,17,31.31,0.23,1.14
20,7,18.9,0.48,4.24
100,0,0.07,0.02,0.02
33,0,0.3,0.03,0.03
59,2,6.39,0.17,0.24
63,0,0.94,0.11,0.11
0,0,0.29,0.01,0.02
0,0,0.19,0.06,0.06
0,0,0.07,0.06,0.06
100,0,24.57,0.02,0.18
100,0,0.09,0.02,0.02
57,0,1.76,0.14,0.09
0,9,17.07,0.04,0.51
0,0,2.3,0.21,0.21
38,0,2.06,0.5,0.5
0,0,11.47,0.36,0.49
0,0,1.04,0.1,0.1
0,0,1.28,0.19,0.19
41,5,5.58,0.24,0.34
0,0,0.21,0.1,0.09
0,0,0.17,0.05,0.05
55,0,2.79,0.1,0.12
100,0,5.04,0.3,0.3
40,3,12.17,0.59,1.71
45,2,9.04,0.33,0.71
44,0,2.78,0.43,0.71
0,0,17.86,0.04,1.45
0,7,36.33,0.27,2.7
30,0,1.98,0.1,0.1
0,0,0.14,0.04,0.04
0,0,0.12,0.54,0.54
13,0,1.43,0.46,0.57
30,2,4.36,0.31,0.55
0,0,0.14,0.03,0.03
19,3,9.62,0.34,1.16
0,4,8.48,0.25,0.4
50,25,38.47,1.31,1.31
50,0,1.36,0.06,0.45
67,67,73.85,0.7,0.7
0,0,0.08,0.03,0.03
0,0,0.22,0.08,0.08
100,0,0.15,0.03,0.03
33,33,28.97,1.33,1.33
0,0,0.59,0.06,1.06
33,0,0.49,0.07,0.09
9,3,14.08,0.83,5.01
0,0,0.94,0.02,0.46
0,0,0.48,0.14,0.15
46,1,3.82,0.18,0.21
67,10,19.91,0.18,0.42
33,33,29.08,1.09,1.09
94,59,77.99,1.69,2.58
0,0,1.02,0.13,0.1
0,0,7.18,3.37,3.37
50,13,17.5,2.57,1.97
0,0,4.69,1.71,1.71
26,2,3.64,0.12,0.16
21,0,1.58,0.22,0.13
31,0,5.88,0.49,0.88
39,3,12.93,0.5,2.12
50,0,1.02,1.02,0.68
0,0,0.3,0.06,0.06
50,0,0.58,0.02,0.02
0,0,0.26,0.02,0.02
0,10,12.47,0.01,0.3
0,0,1.35,0.11,0.39
0,0,0.06,0.02,0.02
0,0,3.03,0.04,0.3
0,0,4.69,0.16,0.16
100,0,13.41,0.12,0.12
43,29,38.16,3.44,3.44
13,0,0.36,0.46,0.61
33,29,26.24,0.71,0.66
0,0,0.02,0.02,0.02
55,10,15.74,0.12,0.47
0,0,0.14,0.02,0.05
25,0,21.53,0.16,1.39
100,0,0.96,0.25,0.08
0,0,0.03,0.04,0.04
0,0,4.16,0.12,0.12
39,13,17.59,0.64,1.26
0,0,0.31,0.02,0.05
0,0,15.31,0.02,0.6
75,25,42.13,1.42,1.42
0,0,1.33,0.17,0.19
41,10,25.89,0.51,1.14
33,0,24.16,2.2,2.2
0,0,0.32,0.18,0.17
43,12,14.27,1.57,2.55
45,25,36.31,1.23,1.7
0,0,0.01,0.05,0.05
5,0,2.97,0.22,0.34
0,0,1.34,0.13,0.37
50,0,0.98,0.1,0.1
76,11,24.98,1.41,1.24
0,0,0.36,0.02,0.03
25,0,5.31,0.47,0.13
100,0,14.47,1.33,1.33
100,0,1.38,0.21,0.2
0,0,3.17,0.17,0.15
67,0,0.65,0.05,0.05
41,0,0.8,0.05,0.06
35,0,0.41,0.05,0.05
20,3,4.95,0.04,0.04
59,2,6.14,0.13,0.25
41,3,6.27,0.55,0.5
0,0,1.25,0.04,0.15
0,0,0.16,0.02,0.11
100,0,0.57,0.15,0.15
9,0,0.92,0.47,0.5
33,0,12.09,0.72,0.72
0,0,0.05,0.02,0.02
100,0,2.92,0.13,0.23
0,0,0.1,0.02,0.02
0,0,0.02,0.04,0.04
0,0,0.56,0.06,0.06
40,0,6.18,0.68,1.15
37,19,37.86,2.34,3.18
100,0,5.65,0.24,0.24
33,0,4.37,1.75,1.75
80,0,16.83,1.06,1.33
61,5,15.22,1.25,1.98
71,0,11.31,1.23,3.07
74,3,7.89,0.65,0.74
43,7,14.82,0.43,0.96
0,0,0.94,0.27,0.27
0,0,0.74,0.42,0.43
50,17,21.49,0.72,1.22
0,0,0.24,0.35,0.35
0,0,0.05,0.02,0.02
100,0,0.49,0.06,0.06
100,0,1.47,1.59,0.63
0,0,0.36,0.02,0.03
0,0,0.22,0.08,0.06
0,0,0.05,0.05,0.04
50,0,33.16,0.55,4.28
46,17,23.27,1.81,1.97
17,14,14.93,0.77,0.74
20,0,5.76,0.26,0.28
50,0,5.58,0.57,0.4
50,0,0.58,0.08,0.08
100,0,6.08,0.82,0.82
33,0,4.94,1.6,1.6
100,0,2.79,0.14,0.14
18,0,1.01,0.16,0.27
50,0,0.11,0.04,0.04
29,0,3.66,0.04,0.04
50,0,1.28,0.03,0.03
65,14,20.6,1.11,1.02
0,0,0.38,0.05,0.05
0,0,0.8,0.5,0.5
100,0,33.42,0.02,0.02
48,2,9.57,1.68,0.96
43,14,20.44,0.33,0.73
50,0,3.94,0.62,0.32
100,6,14.2,0.3,0.15
33,0,0.35,0.01,0.01
75,0,2.79,0.17,0.17
0,0,15.05,0.29,0.29
100,0,2.59,0.16,0.12
87,20,30.81,0.56,0.56
14,0,2.91,0.36,1.05
100,0,0.13,0.02,0.02
43,8,15.41,1.18,1.1
100,0,0.44,0.02,0.02
55,0,14.48,0.85,0.85
50,10,12.82,0.37,0.3
0,0,1.46,0.34,0.51
0,0,0.03,0.04,0.04
0,0,0.27,0.04,0.04
4,0,2.57,0.35,0.62
0,0,0.8,0.02,0.02
0,0,3.74,0.46,0.52
0,0,0.9,0.13,0.13
22,0,0.23,0.02,0.06
0,0,1.01,0.13,0.13
0,0,0.44,0.09,0.09
0,0,0.27,0.04,0.05
22,1,3.02,0.05,0.09
0,0,0.07,0.02,0.02
25,0,0.8,0.08,0.09
100,0,0.42,0.02,0.02
75,25,34.3,7.81,7.81
0,0,0.16,0.11,0.11
0,0,0.65,0.08,0.08
0,0,0.4,0.01,0.01
0,0,0.53,0.3,0.3
19,13,17.5,0.28,0.98
100,0,0.88,0.29,0.29
0,0,0.06,0.01,0.01
0,0,1.69,0.12,0.87
100,0,2.03,0.04,0.04
0,0,0.32,0.08,0.08
53,14,22.53,0.47,0.92
50,0,11.74,5.49,3.66
62,9,22.56,1.06,1.7
46,15,20.32,0.31,0.85
0,0,28.55,9.68,9.68
100,0,2.34,0.07,0.13
33,0,23.96,0.66,0.66
0,0,1.52,0.01,0.03
0,0,0.21,0.16,0.16
40,0,3.79,0.25,0.28
65,15,25.28,0.74,0.61
100,0,2.32,0.84,0.84
50,0,4.86,0.33,0.33
0,0,0.59,0.04,0.74
100,0,13.32,0.03,0.02
0,0,0.42,0.17,0.15
44,17,25.69,0.3,0.86
0,0,0.12,0.06,0.06
0,0,0.75,0.04,0.04
0,0,4.63,0.57,0.29
63,0,9.04,0.3,0.31
33,0,0.77,0.18,0.07
22,0,0.78,0.04,0.16
29,0,2.27,0.25,0.32
0,0,0.73,0.03,0.03
34,0,38.17,5.05,5.05
17,0,5.19,0.54,0.91
68,36,38.31,0.14,0.8
53,0,2.67,0.21,0.26
25,7,19.6,0.02,0.57
3,0,2.5,0.22,0.29
56,6,13.62,0.66,0.65
78,43,47.96,1.88,1.73
41,17,27.56,0.23,0.95
67,0,0.52,0.04,0.04
33,0,1.3,0.18,0.14
0,0,0.7,0.02,0.07
0,0,0.24,0.01,0.01
0,0,1.07,0.31,0.33
0,0,0.12,0.04,0.04
100,0,3.1,0.81,0.81
0,0,0.84,0.22,0.22
100,0,1.44,0.83,0.83
38,14,16.65,0.82,0.62
21,0,2.72,0.26,0.29
40,3,4.52,0.68,0.5
0,0,0.18,0.02,0.02
0,0,0.95,0.11,0.11
0,0,0.55,0.04,0.12
71,0,12.69,0.27,0.31
0,0,0.56,0.03,0.05
27,10,22.9,0.11,1.71
50,0,7.62,1.99,1.44
33,0,4.11,0.36,0.24
0,0,0.46,0.15,0.16
0,63,65.12,0.05,0.52
9,0,0.34,0.03,0.38
100,0,34.25,5.97,5.97
0,0,0.36,0.11,0.11
0,0,0.05,0.02,0.02
14,4,11.94,0.48,1.83
40,10,34.24,0.39,1.36
40,0,4.09,1.62,0.51
34,0,1.72,0.9,0.76
0,0,0.35,0.04,0.08
50,20,22.17,0.75,0.39
43,29,39.64,0.38,0.38
33,0,0.3,0.19,0.1
0,0,4.26,0.9,0.9
67,33,30.51,1.15,1.15
39,29,50.43,0.41,5.3
0,13,24.2,0.02,0.23
50,50,49.7,0.35,0.35
20,20,17.9,0.53,0.53
43,5,10.92,0.63,0.54
0,0,0.96,0.03,0.22
86,0,3.12,0.04,0.05
0,0,1.06,0.01,0.16
67,0,3.47,0.04,0.04
0,0,0,0.01,0.01
0,0,0.03,0.03,0.03
0,0,0.47,0.06,0.05
0,0,0.17,0.09,0.09
48,0,0.58,0.06,0.06
0,0,0.01,0.02,0.02
67,0,2.48,0.06,0.06
67,0,1.11,0.84,0.37
0,0,0.07,0.08,0.08
20,0,6.17,0.33,0.28
54,22,36.45,0.56,4.01
22,1,9.51,0.97,1.89
0,0,6.81,0.44,0.44
60,7,22.34,1.72,1.51
0,0,0.13,0.06,0.06
19,0,2.62,0.16,0.42
40,0,1.16,0.12,0.14
25,12,20.94,0.2,0.51
45,10,14.22,1.55,2.27
0,0,0.38,0.04,0.06
0,0,0.32,0.08,0.09
35,0,1.01,0.08,0.11
42,10,13.74,0.85,1.24
17,0,4.32,0.65,0.7
0,0,0.1,0.02,0.02
0,28,39.85,0.15,1.37
0,0,0.05,0.06,0.06
58,1,8.79,0.36,0.74
50,0,0.97,0.28,0.28
100,0,0.72,0.15,0.15
41,10,17.72,0.29,1.08
46,14,38.78,1.49,5.27
0,0,0.43,0.05,0.05
100,0,0.66,0.02,0.03
50,0,1.43,0.35,0.2
43,0,4.9,0.5,0.45
24,4,7.23,0.34,0.66
17,12,24.32,0.57,3.38
0,0,1,0.03,0.32
33,0,0.69,0.2,0.2
33,18,19.72,0.79,0.46
48,0,6.94,0.39,0.47
13,7,10.53,0.81,0.47
33,0,2.72,0.22,0.27
50,0,6.6,0.41,0.41
25,4,16.54,0.27,1.92
26,11,18.58,1.38,1.33
100,0,1.47,0.43,0.19
0,0,4.25,0.39,0.34
0,0,1.05,0.22,0.13
36,0,4.24,0.06,0.29
70,0,3.43,0.05,0.07
64,0,19.1,0.34,3.04
65,0,9.27,0.31,0.85
100,0,1,0.19,0.15
44,8,14.73,0.22,0.46
59,0,1.65,0.05,0.05
100,0,36.82,0.74,0.74
0,0,0.72,0.02,0.02
100,0,5.85,0.39,0.39
7,0,6.31,0.65,1.28
83,0,9.69,1.99,1.91
50,0,2.13,0.74,0.38
0,0,0.97,0.03,0.1
100,0,2.29,0.15,0.15
100,0,23.43,0.67,0.67
50,0,1.18,0.34,0.34
60,0,11.37,0.72,0.72
70,0,13.36,0.1,0.11
22,1,3.6,0.3,0.28
56,0,2.92,0.51,0.49
0,0,2.24,1.28,1.28
0,0,3.69,0.06,0.47
25,6,12.78,0.47,0.56
78,50,47.28,1.45,3.29
44,14,29.93,1.5,1.92
100,0,1.26,0.27,0.27
0,0,3.05,0.75,0.65
0,0,27.08,2.47,2.47
50,25,24.11,0.96,0.96
0,0,0.21,0.24,0.24
38,0,1.26,0.1,0.14
78,2,13.22,0.64,0.34
0,0,0.56,0.14,0.14
47,5,11.72,0.59,1.04
51,5,12.36,0.96,1.1
0,0,0.37,0.12,0.12
46,3,6.03,0.44,1
100,0,4.26,0.11,0.11
100,0,1.01,0.42,0.42
100,54,54.3,3.92,2.22
25,0,1.87,0.13,0.13
40,0,9.28,0.19,1.15
33,33,32.38,0.74,0.74
35,18,29.75,1.27,3.11
56,11,15.24,0.26,0.26
81,40,51.4,1.62,2.58
20,0,1.39,0.02,0.03
0,0,10.76,0.71,1.07
33,12,15,1.79,1.52
58,0,8.81,1.2,2.07
0,0,0.75,0.04,0.04
30,0,10.34,1.25,1.25
46,2,7.44,0.4,0.67
100,0,10.51,2.45,2.45
50,0,2.54,0.45,0.45
50,0,2.26,0.02,0.1
100,0,11.16,2.38,2.38
100,0,1.92,0.3,0.14
50,0,19.8,2.58,2.59
0,0,2.74,0.06,0.06
86,3,16.84,0.61,0.55
50,0,0.52,0.06,0.06
40,40,36.78,1.12,1.12
49,15,27.16,0.56,0.99
44,9,11.24,0.13,0.61
20,0,1.21,0.43,0.39
55,3,14.64,1.22,0.62
43,14,14.33,0.6,0.6
40,0,2.2,0.91,0.91
100,0,3.31,0.96,1.31
36,9,22.28,1.27,0.86
14,3,5.43,0.44,1.17
0,10,16.07,0.33,0.99
31,11,17,0.09,1.06
100,0,1.49,0.62,0.62
33,0,15.09,3.41,4.1
0,0,0.25,0.26,0.14
100,0,0.58,0.08,0.08
100,0,3.99,0.16,0.16
74,13,17.82,0.4,0.41
17,0,8.11,1.28,1.92
33,13,15.92,0.18,0.45
100,0,1.28,0.87,0.45
100,0,0.23,0.07,0.05
100,0,0.65,0.03,0.03
50,0,0.48,0.11,0.15
100,0,18.27,3.66,3.66
100,0,0.27,0.01,0.07
98,0,48.85,3.11,3.11
100,29,43.11,0.04,4.41
50,0,1.22,0.04,0.03
100,0,10.15,1.3,1.3
33,0,19.22,0.29,0.29
70,2,4.22,0.13,0.11
40,6,15.66,0.62,0.83
0,13,22.15,0.74,0.42
50,0,17.9,5.09,5.09
33,0,1.9,0.18,0.18
33,0,3.03,0.31,0.51
0,0,1.36,0.3,0.3
